1/1/2022,12.9,,,,
1/2/2022,8.3,,,,
1/3/2022,15,,,,
1/4/2022,28,,,,
1/5/2022,33.1,,,,
1/6/2022,38.6,,,,
1/7/2022,37.9,,,,
1/8/2022,33.6,,,,
1/9/2022,20.3,,,,
1/10/2022,16.6,,,,
1/11/2022,19.5,,,,
1/12/2022,25.3,,,,
1/13/2022,28.8,,,,
1/14/2022,29.6,,,,
1/15/2022,22.2,,,,
1/16/2022,23.6,,,,
1/17/2022,24.7,,,,
1/18/2022,30.6,,,,
1/19/2022,28.4,,,,
1/20/2022,25.3,,,,
1/21/2022,29.1,,,,
1/22/2022,24.4,,,,
1/23/2022,21.5,,,,
1/24/2022,23.6,,,,
1/25/2022,27,,,,
1/26/2022,21.4,,,,
1/27/2022,21.4,,,,
1/28/2022,18.6,,,,
1/29/2022,19.7,,,,
1/30/2022,20.9,,,,
1/31/2022,25.2,,,,
2/1/2022,23.4,,,,
2/2/2022,16.3,,,,
2/3/2022,15.7,,,,
2/4/2022,16.1,,,,
2/5/2022,21.9,,,,
2/6/2022,26,,,,
2/7/2022,26.4,,,,
2/8/2022,30.5,,,,
2/9/2022,33,,,,
2/10/2022,33.7,,,,
2/11/2022,36.3,,,,
2/12/2022,34.1,,,,
2/13/2022,35.3,,,,
2/14/2022,38.4,,,,
2/15/2022,35.8,,,,
2/16/2022,30.2,,,,
2/17/2022,29.9,,,,
2/18/2022,32.2,,,,
2/19/2022,33.9,,,,
2/20/2022,37.6,,,,
2/21/2022,31.6,,,,
2/22/2022,26.1,,,,
2/23/2022,19.4,,,,
2/24/2022,17,,,,
2/25/2022,17.3,,,,
2/26/2022,11.7,,,,
2/27/2022,16.7,,,,
2/28/2022,25.1,,,,
3/1/2022,33.3,,,,
3/2/2022,39.1,,,,
3/3/2022,42,,,,
3/4/2022,39.8,,,,
3/5/2022,37.9,,,,
3/6/2022,27.9,,,,
3/7/2022,21.6,,,,
3/8/2022,26.5,,,,
3/9/2022,30,,,,
3/10/2022,20.6,,,,
3/11/2022,20.3,,,,
3/12/2022,30.1,,,,
3/13/2022,33.1,,,,
3/14/2022,34.8,,,,
3/15/2022,38.6,,,,
3/16/2022,39.8,,,,
3/17/2022,36.9,,,,
3/18/2022,38.8,,,,
3/19/2022,41,,,,
3/20/2022,37.8,,,,
3/21/2022,33.4,,,,
3/22/2022,37,,,,
3/23/2022,37.5,,,,
3/24/2022,44.7,,,,
3/25/2022,49.4,,,,
3/26/2022,51.7,,,,
3/27/2022,54.1,,,,
3/28/2022,48.9,,,,
3/29/2022,45.2,,,,
3/30/2022,47,,,,
3/31/2022,43.3,,,,
